id,X,Y
1,0,0
2,-4.951161783,-2.000399209
3,-4.146824117,-8.55120381
4,-11.23100207,-10.36811181
5,-15.42759026,-13.7697817
6,0,0
7,-13.65353506,-4.660981722
8,-15.20656234,-5.352434015
9,0,0
10,-20.0248673,-1.450647591
11,-19.81028988,2.643733502
12,-7.557071504,-21.39448546
13,-10.82495613,-21.8537567
14,-11.23100207,-17.16811181
15,-8.911527289,-29.07598594
16,-6.828391552,-34.23997779
17,-6.954502063,-35.90094398
18,-8.128766642,-39.51495874
19,0,0
20,-11.77723193,-64.42057354
21,-7.675073185,-52.50703949
22,-11.39655136,-55.21085165
23,0,0
24,-6.313451078,-30.57598594
25,7.696935864,-7.432844564
26,8.704011584,-8.405366283
