tree ID,fern ID ,species,fern size,height ,max leaves width,Leaf length 1,Leaf length 2,Leaf length 3,nest width,nest length,nest height,nest weight,litter and leaves weight
13,1,,S,4.2,52,31,34,39,16,11,18,240,90
12,2,,M,3.43,112,62,60.5,60,17.5,11,14,280,310
16,3,,S,3.5,96,50,58,59,15.5,9,16,210,190
18,4,,S,3.57,68,36,42,38,11,6.5,12,90,45
18,5,,M,3.75,113,68,63,69,20,11.5,16,380,205
15,6,,S,5.26,85,34,52,47,15,10,12,240,130
15,7,,L,3.37,163,70,79,72,20,15,21,600,480
15,8,,M,3.5,112,48,59,52,15,9,11,205,160
5,9,,L,4.87,190,90,112,126,34,25,33,4120,2380
3,10,,L,3.48,153,80,83,92,18,14,21,790,690
2,11,,L,5.7,157,81,77,76,26,17.5,22,1320,850
7,12,,L,3.33,153,94,90,62,18,13,22,1060,680
1,13,,L,3.2,226,89,99,105,22,21,27,2770,2330
1,14,,S,6.15,89,47,44,43,10,15,11,160,150
8,15,,S,3.76,56,31,33,32,10,11,11,110,80
10,16,,S,6.72,83,44,44,36,12,17,11,110,130
4,17,,M,6.42,116,64,65,59,12,17,14,180,300
20,18,,S,6.33,84,46,41,48,14,14,10,,
27,19,,L,5.35,165,82,84,98,18,26,17,1400,1020
28,20,,M,2.95,128,65,62,78,14,20,18,480,440
18,21,,S,9.85,78,40,41,38,9,16,12,120,130
17,22,,L,3.71,161,98,83,93,12,24,23,1510,1500
26,23,,M,6.7,145,81,63,73,9,20,14,470,470
12,24,,M,3.1,91,49,46,38,9,13,16,150,200
,25,,L,3.64,130,92,96,99,19,26,23,1700,2360
