"","fern_ID","tree.ID","fern.size","height","max.leaves.width","Leaf.length.1","Leaf.length.2","Leaf.length.3","nest.width","nest.length","nest.height","nest.weight","litter.and.leaves.weight","dry_mass","pH","leaf_length_mean","nest_volume","DBH","total_weight","Chl_avg","LDMC_avg","Lth_avg","SLA_avg","water_content","C_N_ratio","pH_ratio"
"1","1",13,"S",4.2,52,31,34,39,16,11,18,240,90,89.07,4.17,34.6666666666667,3168,30.6,330,29.6166666666667,0.169525611333333,0.0178333333333333,0.0594809353119118,62.8875,20.6637806637807,4.17
"2","10",3,"L",3.48,153,80,83,92,18,14,21,790,690,201.67,4.22,85,5292,45.1,1480,34.7666666666667,0.222255926333333,0.0110833333333333,0.0574759599643193,74.4721518987342,19.3911806275394,4.16166410472554
"3","11",2,"L",5.7,157,81,77,76,26,17.5,22,1320,850,492.8,4.135,78,10010,43.4,2170,38.55,0.389887848333333,0.0124166666666667,0.0895555655257999,62.6666666666667,19.3698862887962,4.17263737824675
"4","12",7,"L",3.33,153,94,90,62,18,13,22,1060,680,332,4.5,82,5148,35,1740,40.4833333333333,0.243371385333333,0.0119583333333333,0.0608175855436402,68.6792452830189,21.5224590347337,4.54428855421687
"5","13",1,"L",3.2,226,89,99,105,22,21,27,2770,2330,943.16,4.57,97.6666666666667,12474,34.6,5100,32.45,0.187265675666667,0.0055,0.0461144329946283,65.9509025270758,18.3412531770208,4.68106270410111
"6","14",1,"S",6.15,89,47,44,43,10,15,11,160,150,57.15,4.3,44.6666666666667,1650,34.6,310,28.5833333333333,0.20363765,0.02025,0.0501243836898134,64.28125,19.1954261954262,4.3
"7","15",8,"S",3.76,56,31,33,32,10,11,11,110,80,43.62,4.15,32,1210,21.4,190,23.55,0.184691699,0.00895833333333333,0.0641592111229611,60.3454545454545,21.2307692307692,4.15
"8","16",10,"S",6.72,83,44,44,36,12,17,11,110,130,50.46,4.42,41.3333333333333,2244,27,240,29.5833333333333,0.177194506,0.018375,0.0521293590374059,54.1272727272727,18.8122448979592,4.42
"9","17",4,"M",6.42,116,64,65,59,12,17,14,180,300,124.17,4.24666666666667,62.6666666666667,2856,56.3,480,28.9166666666667,0.200437595,0.0181666666666667,0.060149260427776,31.0166666666667,18.4827174498185,4.34868486752034
"10","19",27,"L",5.35,165,82,84,98,18,26,17,1400,1020,416.43,4.86,88,7956,35.7,2420,31.6833333333333,0.179189634,0.008125,0.0514610339215417,70.255,22.0638382157101,4.92512763249526
"11","2",12,"M",3.43,112,62,60.5,60,17.5,11,14,280,310,112.89,4.1,60.8333333333333,2695,43.3,590,31.75,0.192775894,0.0155,0.0648275362388253,59.6821428571429,20.8454585678505,4.09542032066614
"12","20",28,"M",2.95,128,65,62,78,14,20,18,480,440,187.99,4.35333333333333,68.3333333333333,5040,37.7,920,25.1666666666667,0.174232337,0.0192083333333333,0.0494560585739492,60.8354166666667,19.121373703868,4.41723921485185
"13","21",18,"S",9.85,78,40,41,38,9,16,12,120,130,59.57,4.4,39.6666666666667,1728,44.8,250,26.75,0.200120211666667,0.00858333333333333,0.0661641864705536,50.3583333333333,20.9248291571754,4.4
"14","22",17,"L",3.71,161,98,83,93,12,24,23,1510,1500,512.31,4.67,91.3333333333333,6624,38.2,3010,31.8833333333333,0.199577371333333,0.0279166666666667,0.0494560585739492,66.0721854304636,18.4339355283642,4.7077396498214
"15","23",26,"M",6.7,145,81,63,73,9,20,14,470,470,187.74,4.58,72.3333333333333,2520,41.5,940,33.1333333333333,0.204411764666667,0.0190833333333333,0.0548026595008626,60.0553191489362,19.7761418931751,4.6820405880473
"16","24",12,"M",3.1,91,49,46,38,9,13,16,150,200,84.97,3.93333333333333,44.3333333333333,1872,43.3,350,26,0.205791505666667,0.0189166666666667,0.0608175855436402,43.3533333333333,19.5862150796046,3.93645992703307
"17","25",NA,"L",3.64,130,92,96,99,19,26,23,1700,2360,558.54,4.6875,95.6666666666667,11362,NA,4060,29.7333333333333,0.223115119666667,0.007625,0.0527976841532701,67.1447058823529,19.7677981050109,4.80895584917821
"18","3",16,"S",3.5,96,50,58,59,15.5,9,16,210,190,75.46,3.99,55.6666666666667,2232,40.4,400,32.9166666666667,0.172180973333333,0.0156666666666667,0.0501243836898134,64.0666666666667,19.1108695652174,3.99
"19","4",18,"S",3.57,68,36,42,38,11,6.5,12,90,45,40.11,3.75,38.6666666666667,858,44.8,135,32.3,0.130221654,0.017125,0.0380945316042581,55.4333333333333,16.9866666666667,3.75
"20","5",18,"M",3.75,113,68,63,69,20,11.5,16,380,205,146.2,3.99,66.6666666666667,3680,44.8,585,39.6833333333333,0.180218965666667,0.01475,0.0494560585739492,61.5263157894737,18.3064793590926,4.11232831737346
"21","6",15,"S",5.26,85,34,52,47,15,10,12,240,130,89.27,3.99,44.3333333333333,1800,36.2,370,30.6833333333333,0.170765657,0.01775,0.0441094576470357,62.8041666666667,23.3283950617284,3.99
"22","7",15,"L",3.37,163,70,79,72,20,15,21,600,480,350.51,4.295,73.6666666666667,6300,36.2,1080,36.9,0.218850126333333,0.0146666666666667,0.0494560585739492,41.5816666666667,21.5351133459481,4.34749079912128
"23","8",15,"M",3.5,112,48,59,52,15,9,11,205,160,104.22,4.42666666666667,53,1485,36.2,365,37.5666666666667,0.195353637,0.015,0.0474510832263566,49.1609756097561,22.0198321613024,4.43080886586068
"24","9",5,"L",4.87,190,90,112,126,34,25,33,4120,2380,1450.88,4.445,109.333333333333,28050,36.1,6500,41.1833333333333,0.25177023,0.0142083333333333,0.0654958613546894,64.7844660194175,18.8350908270367,4.55101607300397
"25","NC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","NC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","NC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","NC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
