sample_ID,dry mass ,,,pH
1,89.07,,,4.17
2-U,34.78,,,4.34
2-L,36.51,,,3.88
2-O,41.6,,,4.08
3,75.46,,,3.99
4,40.11,,,3.75
5-U,32.51,,,3.85
5-L,27.89,,,3.81
5-O,85.8,,,4.31
6,89.27,,,3.99
7-U,117.89,43.82,,4.44
7-M,47.95,,,4.42
7-L,37.21,,,4.04
7-O,103.64,,,4.28
8-U,38.75,,,4.63
8-L,28.57,,,4.42
8-O,36.9,,,4.23
9-U,185.12,265.02,,5.04
9-M,248.44,,,4.03
9-L,77.24,,,4.26
9-O,279.55,164.9,230.61,4.45
10-U,50.08,,,4.78
10-M,,,,
10-L,53.83,,,3.88
10-O,97.76,,,4
11-U,153.37,,,3.92
11-M,96.42,,,4.15
11-L,84.15,,,3.89
11-O,158.86,,,4.58
12-U,87.61,,,5.06
12-M,85.39,,,4.32
12-L,44.43,,,4.15
12-O,114.57,,,4.47
13-U,170.41,,,4.94
13-M,191.11,,,4.51
13-L,148.92,,,3.91
13-O,127.46,137.82,167.44,4.92
14,57.15,,,4.3
15,43.62,,,4.15
16,50.46,,,4.42
17-U,47.86,,,4.3
17-L,21.28,,,3.86
17-O,55.03,,,4.58
19-U,90.31,,,5.36
19-M,99.84,,,4.81
19-L,69.61,,,4.2
19-O,156.67,,,5.07
20-U,61.75,,,4.51
20-L,43.71,,,3.96
20-O,82.53,,,4.59
21,59.57,,,4.4
22-U,106.02,,,5.1
22-M,130.43,,,4.55
22-L,101.8,,,4.07
22-O,174.06,,,4.96
23-U,82.91,,,4.83
23-L,35.7,,,4.11
23-O,69.13,,,4.8
24-U,23.65,,,4.05
24-L,20.81,,,3.82
24-O,40.51,,,3.93
25-U,162.02,,,5.27
25-M,138.57,,,4.54
25-L,77.95,,,3.98
25-O,180,,,4.96
NC1,,,,
NC2,,,,
NC3,,,,
NC4,,,,
