fern ID,fern size,leaf ID,SPAD (3x/side),SPAD (3x/side),Wt-fresh,Wt-dry,Lth (2x/side),Lth (2x/side),note
2,,1,33.6,30.4,0.166,0.03,0.424,0.344,
,,,,,,,0.381,0.386,
2,,2,29.7,31.1,0.167,0.033,0.393,0.404,
,,,,,,,0.373,0.377,
2,,3,32.3,33.4,0.17,0.034,0.358,0.331,
,,,,,,,0.333,0.36,
7,,1,40.6,36.5,0.108,0.023,0.281,0.277,
,,,,,,,0.263,0.285,
7,,2,34.3,34.6,0.116,0.025,0.245,0.311,
,,,,,,,0.277,0.236,
7,,3,38.2,37.2,0.114,0.026,0.254,0.248,
,,,,,,,0.257,0.281,
5,,1,35.7,39.4,0.138,0.025,0.277,0.339,
,,,,,,,0.349,0.306,
5,,2,33.6,34.9,0.139,0.023,0.303,0.304,
,,,,,,,0.302,0.302,
5,,3,47.3,47.2,0.134,0.026,0.282,0.318,
,,,,,,,0.317,0.284,
8,,1,32.6,30.9,0.119,0.02,0.319,0.262,
,,,,,,,0.269,0.27,
8,,2,40.2,38.8,0.121,0.025,0.284,0.258,
,,,,,,,0.248,0.242,
8,,3,41.4,41.5,0.123,0.026,0.274,0.286,
,,,,,,,0.308,0.302,
6,,1,29.5,29.2,0.134,0.021,0.298,0.28,
,,,,,,,0.315,0.323,
6,,2,29.3,27.2,0.126,0.02,0.308,0.266,
,,,,,,,0.272,0.296,
6,,3,36.7,32.2,0.127,0.025,0.266,0.329,
,,,,,,,0.276,0.3,
3,,1,29.5,31.8,0.143,0.023,0.318,0.319,
,,,,,,,0.346,0.372,
3,,2,34.7,33.1,0.142,0.027,0.331,0.349,
,,,,,,,0.297,0.307,
3,,3,34.5,33.9,0.151,0.025,0.319,0.315,
,,,,,,,0.315,0.337,
12,,1,38.6,43.8,0.123,0.03,0.266,0.267,
,,,,,,,0.276,0.304,
12,,2,40.3,37.6,0.122,0.03,0.256,0.282,
,,,,,,,0.25,0.264,
12,,3,42.5,40.1,0.129,0.031,0.315,0.321,
,,,,,,,0.339,0.349,
9,,1,40.8,43,0.132,0.031,0.289,0.325,
,,,,,,,0.294,0.297,
