	1_V6V8	10_L_V6V8	10_M_V6V8	10_O_V6V8	10_U_V6V8	11_L_V6V8	11_M_V6V8	11_O_V6V8	11_U_V6V8	12_L_V6V8	12_M_V6V8	12_O_V6V8	12_U_V6V8	13_L_V6V8	13_M_V6V8	13_O_V6V8	13_U_V6V8	14_V6V8	15_V6V8	16_V6V8	17_L_V6V8	17_O_V6V8	17_U_V6V8	19_L_V6V8	19_M_V6V8	19_O_V6V8	19_U_V6V8	2_L_V6V8	2_O_V6V8	2_U_V6V8	20_L_V6V8	20_O_V6V8	20_U_V6V8	21_V6V8	22_L_V6V8	22_M_V6V8	22_O_V6V8	22_U_V6V8	23_L_V6V8	23_O_V6V8	23_U_V6V8	24_L_V6V8	24_O_V6V8	24_U_V6V8	25_L_V6V8	25_M_V6V8	25_O_V6V8	25_U_V6V8	3_V6V8	4_V6V8	5_L_V6V8	5_O_V6V8	5_U_V6V8	6_V6V8	7_L_V6V8	7_M_V6V8	7_O_V6V8	7_U_V6V8	8_L_V6V8	8_O_V6V8	8_U_V6V8	9_L_V6V8	9_M_V6V8	9_O_V6V8	9_U_V6V8	NC1_V6V8	NC2_V6V8	NC3_V6V8
1708695	27.3333333333333	12.5	10.6666666666667	11.6666666666667	22.1666666666667	10.8333333333333	8.33333333333333	2.5	19.5	11.8333333333333	13.3333333333333	6.66666666666667	28.3333333333333	49	34	5.16666666666667	5.16666666666667	5.66666666666667	15	13	4.33333333333333	4	17.5	17.6666666666667	38.8333333333333	6.33333333333333	6.83333333333333	31.8333333333333	12.8333333333333	85.6666666666667	37.1666666666667	36.1666666666667	31.6666666666667	27.1666666666667	109.333333333333	76.1666666666667	17.6666666666667	19.5	25.6666666666667	7	86.3333333333333	8.5	8	9.16666666666667	101.166666666667	92.5	34.8333333333333	69.1666666666667	31.1666666666667	0	13	6.33333333333333	10.5	4.83333333333333	44.6666666666667	55.5	31.8333333333333	44.8333333333333	17.8333333333333	19.1666666666667	19.3333333333333	29.3333333333333	29.6666666666667	6.33333333333333	22	0	0	0
114708	11.3333333333333	4.33333333333333	7.16666666666667	6.16666666666667	13.3333333333333	18.5	7	28	11.3333333333333	5.33333333333333	4.5	9.16666666666667	6.33333333333333	30.1666666666667	33.3333333333333	38.1666666666667	18	29.5	15	26.5	14.5	16.5	34	29.8333333333333	51.6666666666667	44.8333333333333	18.1666666666667	2.66666666666667	6.16666666666667	9.5	2.5	19.3333333333333	14.5	15.5	20.6666666666667	13.8333333333333	43.5	37	50.6666666666667	51.1666666666667	21.8333333333333	6	7.83333333333333	21.1666666666667	56	29.1666666666667	74.8333333333333	32.6666666666667	26	9.33333333333333	8.33333333333333	7.66666666666667	7.33333333333333	14.1666666666667	2.83333333333333	5	11.1666666666667	3.33333333333333	4.83333333333333	9.16666666666667	8	8.33333333333333	8.5	7.5	7.33333333333333	0	0	0
103770	4.33333333333333	3.5	7.16666666666667	2	13.5	21.3333333333333	7.33333333333333	11.6666666666667	11.8333333333333	8.66666666666667	3.83333333333333	6.5	4.5	35.1666666666667	23.5	34.8333333333333	10.6666666666667	29.8333333333333	11.6666666666667	17	4.5	6.33333333333333	14.6666666666667	12.1666666666667	7.66666666666667	3.5	3.83333333333333	5.66666666666667	14	12.8333333333333	2.33333333333333	6	10.5	12.3333333333333	9	14.1666666666667	8.66666666666667	24.3333333333333	28.1666666666667	28.5	53.1666666666667	12.1666666666667	7.16666666666667	36.1666666666667	19.3333333333333	6.5	39.1666666666667	11.6666666666667	4	0	8.5	1.5	10.1666666666667	5.83333333333333	0.5	2.33333333333333	6.33333333333333	1.33333333333333	5	12.5	3.66666666666667	2.33333333333333	4.66666666666667	2.16666666666667	6.33333333333333	0	0	0
750007	19	55	34.5	0	40.5	15	15.5	0	0	35	14	27	45	47.5	15.5	0	0	16.5	63	31	67.5	42.5	88.5	37	0	0	0	13	28	25.5	39.5	0	26	57.5	37.5	0	26.5	23	63	38	0	47.5	20	46	27	17	36	30	32	111	82	81	36	49	31	36.5	25.5	46	42.5	39	54	75	48	23	29	0	0	0
1135287	8	20	47	66.5	12	16.5	22.5	46.5	16	39.5	26	22	28.5	14.5	9.5	2.5	2	5.5	11.5	11	32.5	53.5	19	10.5	26.5	13.5	0	8	0	13.5	0	14	22.5	7.5	15	17.5	15.5	0	40	45	15	17	32	5	11	15	17	0	12.5	45.5	17	14	24	16.5	19.5	16	23	20	19.5	16	28	39.5	26	22	23	0	0	0
574772	32	0	0	0	42	32	31	40	13.5	33.5	38	23.5	14.5	82.5	12.5	27.5	0	81.5	49	50	177.5	108	60	14.5	0	14	0	13.5	33	33.5	16.5	64.5	38	16	60	38	49	0	58.5	48	12.5	138.5	180	53	0	0	0	0	61	269	60.5	56	57	34	13	16	16	13.5	30	5	8	99	31.5	31.5	15.5	0	0	0
4342020	0.166666666666667	3.66666666666667	5.66666666666667	2.5	26.6666666666667	0.5	1.5	1.5	6.5	0	7.5	3.66666666666667	16.3333333333333	0.833333333333333	0	0.333333333333333	0	0	2	0	0	1.5	19.6666666666667	26.6666666666667	18.8333333333333	27.1666666666667	13.5	0	0	1	0.5	3.33333333333333	4.33333333333333	9.83333333333333	2.5	0	4.33333333333333	2.83333333333333	17	1.33333333333333	34	1	0	14.1666666666667	3.83333333333333	2.66666666666667	1	1	2.83333333333333	0	0	0	0	2	0	4.83333333333333	1.83333333333333	3.83333333333333	1.83333333333333	0.833333333333333	13.1666666666667	1.5	0.833333333333333	0	2	0	0	0
161623	11	0	0	0	0	0	0	23.5	0	0	0	0	0	0	0	18.5	0	0	0	12.5	26.5	0	0	30.5	8.5	0	0	0	0	0	15	20.5	0	0	48	0	15	0	0	7.5	0	12.5	0	0	9.5	0	0	0	34	0	9	12	0	0	0	8	0	12	43.5	28.5	8.5	7.5	0	31.5	3	0	0	0
749604	3.5	0	0	0	0	5	0	3.83333333333333	0	0	0	3.33333333333333	2.66666666666667	0	0	7.5	3.16666666666667	12.5	5.66666666666667	15.5	4.66666666666667	4.16666666666667	10.6666666666667	6.83333333333333	8.5	9.5	0	2	8.83333333333333	6.66666666666667	0	2.66666666666667	5.66666666666667	6.83333333333333	5.66666666666667	4.16666666666667	4.66666666666667	6.83333333333333	6.33333333333333	8	3.66666666666667	2.83333333333333	7.5	19.1666666666667	4.16666666666667	2.5	6.33333333333333	3.83333333333333	5	0	3.83333333333333	3.33333333333333	4.33333333333333	3.16666666666667	0	0	0	0	2.33333333333333	0	0	0	0	5.16666666666667	0	0	0	0
1126251	30.5	17.5	24.5	54.5	16.5	14.5	26.5	0	0	13.5	55	27	16	0	0	0	9.5	22.5	34.5	0	0	0	0	0	25.5	0	0	40	26	24	0	51	31	0	0	26	18.5	0	9	0	20	55	34.5	19.5	29.5	41	0	0	0	0	22	0	40	0	46.5	40	27	27.5	0	0	0	0	17	0	0	0	0	0
