"#SampleID" "pH" "dry_mass.x" "fern_ID" "tree.ID" "fern.size" "height" "max.leaves.width" "Leaf.length.1" "Leaf.length.2" "Leaf.length.3" "nest.width" "nest.length" "nest.height" "nest.weight" "litter.and.leaves.weight" "dry_mass.y" "leaf_length_mean" "nest_volume" "DBH" "layer" "C" "N" "H" "C_N"
"1 _V6V8" 4.17 89.07 1 13 "S" 4.2 52 31 34 39 16 11 18 240 90 89.07 39 3168 30.6 "S" 47.7333333333333 2.31 6.22433333333333 20.6637806637807
"10-L _V6V8" 3.88 53.83 10 3 "L" 3.48 153 80 83 92 18 14 21 790 690 201.67 105.333333333333 5292 45.1 "L" 42.94 2.415 5.9635 17.7805383022774
"10-M _V6V8" NA 0 10 3 "L" 3.48 153 80 83 92 18 14 21 790 690 201.67 105.333333333333 5292 45.1 "M" NA NA NA NA
"10-O _V6V8" 4 97.76 10 3 "L" 3.48 153 80 83 92 18 14 21 790 690 201.67 105.333333333333 5292 45.1 "O" 44.405 2.34 6.089 18.9764957264957
"10-U _V6V8" 4.78 50.08 10 3 "L" 3.48 153 80 83 92 18 14 21 790 690 201.67 105.333333333333 5292 45.1 "U" 46.715 2.13 6.594 21.9319248826291
"11-L _V6V8" 3.89 84.15 11 2 "L" 5.7 157 81 77 76 26 17.5 22 1320 850 492.8 105 10010 43.4 "L" 45.81 2.49 6.2215 18.3975903614458
"11-M _V6V8" 4.15 96.42 11 2 "L" 5.7 157 81 77 76 26 17.5 22 1320 850 492.8 105 10010 43.4 "M" 45.955 2.475 6.3865 18.5676767676768
"11-O _V6V8" 4.58 158.86 11 2 "L" 5.7 157 81 77 76 26 17.5 22 1320 850 492.8 105 10010 43.4 "O" 46.035 2.16 6.4955 21.3125
"11-U _V6V8" 3.92 153.37 11 2 "L" 5.7 157 81 77 76 26 17.5 22 1320 850 492.8 105 10010 43.4 "U" 45.345 2.465 6.183 18.395537525355
"12-L _V6V8" 4.15 44.43 12 7 "L" 3.33 153 94 90 62 18 13 22 1060 680 332 112.333333333333 5148 35 "L" 46.47 2.13 6.2615 21.8169014084507
"12-M _V6V8" 4.32 85.39 12 7 "L" 3.33 153 94 90 62 18 13 22 1060 680 332 112.333333333333 5148 35 "M" 46.965 2.255 6.352 20.8270509977827
"12-O _V6V8" 4.47 114.57 12 7 "L" 3.33 153 94 90 62 18 13 22 1060 680 332 112.333333333333 5148 35 "O" 46.88 2.17 6.419 21.6036866359447
"12-U _V6V8" 5.06 87.61 12 7 "L" 3.33 153 94 90 62 18 13 22 1060 680 332 112.333333333333 5148 35 "U" 47.62 2.17 6.588 21.9447004608295
"13-L _V6V8" 3.91 148.92 13 1 "L" 3.2 226 89 99 105 22 21 27 2770 2330 943.16 138 12474 34.6 "L" 45.225 2.54 6.096 17.8051181102362
"13-M _V6V8" 4.51 191.11 13 1 "L" 3.2 226 89 99 105 22 21 27 2770 2330 943.16 138 12474 34.6 "M" 44.525 2.53 6.157 17.598814229249
"13-O _V6V8" 4.92 432.72 13 1 "L" 3.2 226 89 99 105 22 21 27 2770 2330 943.16 138 12474 34.6 "O" 45.615 2.415 6.21 18.888198757764
"13-U _V6V8" 4.94 170.41 13 1 "L" 3.2 226 89 99 105 22 21 27 2770 2330 943.16 138 12474 34.6 "U" 44.995 2.465 6.208 18.2535496957404
"14 _V6V8" 4.3 57.15 14 1 "S" 6.15 89 47 44 43 10 15 11 160 150 57.15 60 1650 34.6 "S" 46.165 2.405 6.4745 19.1954261954262
"15 _V6V8" 4.15 43.62 15 8 "S" 3.76 56 31 33 32 10 11 11 110 80 43.62 40 1210 21.4 "S" 46.92 2.21 6.389 21.2307692307692
"16 _V6V8" 4.42 50.46 16 10 "S" 6.72 83 44 44 36 12 17 11 110 130 50.46 57 2244 27 "S" 46.09 2.45 6.378 18.8122448979592
"17-L _V6V8" 3.86 21.28 17 4 "M" 6.42 116 64 65 59 12 17 14 180 300 124.17 81.6666666666667 2856 56.3 "L" 44.2 2.59 5.9705 17.0656370656371
"17-O _V6V8" 4.58 55.03 17 4 "M" 6.42 116 64 65 59 12 17 14 180 300 124.17 81.6666666666667 2856 56.3 "O" 44.705 2.53 6.236 17.6699604743083
"17-U _V6V8" 4.3 47.86 17 4 "M" 6.42 116 64 65 59 12 17 14 180 300 124.17 81.6666666666667 2856 56.3 "U" 46.61 2.325 6.1895 20.047311827957
"19-L _V6V8" 4.2 69.61 19 27 "L" 5.35 165 82 84 98 18 26 17 1400 1020 416.43 110.333333333333 7956 35.7 "L" 46.305 2.09 6.1315 22.1555023923445
"19-M _V6V8" 4.81 99.84 19 27 "L" 5.35 165 82 84 98 18 26 17 1400 1020 416.43 110.333333333333 7956 35.7 "M" 45.965 2.12 6.206 21.6816037735849
"19-O _V6V8" 5.07 156.67 19 27 "L" 5.35 165 82 84 98 18 26 17 1400 1020 416.43 110.333333333333 7956 35.7 "O" 46.17 2.125 6.337 21.7270588235294
"19-U _V6V8" 5.36 90.31 19 27 "L" 5.35 165 82 84 98 18 26 17 1400 1020 416.43 110.333333333333 7956 35.7 "U" 46 2 6.4325 23
"2-L _V6V8" 3.88 36.51 2 12 "M" 3.43 112 62 60.5 60 17.5 11 14 280 310 112.89 78.1666666666667 2695 43.3 "L" 43.85 2.2 6.8295 19.9318181818182
"2-O _V6V8" 4.08 41.6 2 12 "M" 3.43 112 62 60.5 60 17.5 11 14 280 310 112.89 78.1666666666667 2695 43.3 "O" 44.335 2.18 6.9065 20.3371559633028
"2-U _V6V8" 4.34 34.78 2 12 "M" 3.43 112 62 60.5 60 17.5 11 14 280 310 112.89 78.1666666666667 2695 43.3 "U" 46.5433333333333 2.07666666666667 6.54533333333333 22.4125200642055
"20-L _V6V8" 3.96 43.71 20 28 "M" 2.95 128 65 62 78 14 20 18 480 440 187.99 85 5040 37.7 "L" 45.45 2.42 6.116 18.7809917355372
"20-O _V6V8" 4.59 82.53 20 28 "M" 2.95 128 65 62 78 14 20 18 480 440 187.99 85 5040 37.7 "O" 45.45 2.345 6.2205 19.3816631130064
"20-U _V6V8" 4.51 61.75 20 28 "M" 2.95 128 65 62 78 14 20 18 480 440 187.99 85 5040 37.7 "U" 46.11 2.425 6.1475 19.0144329896907
"21 _V6V8" 4.4 59.57 21 18 "S" 9.85 78 40 41 38 9 16 12 120 130 59.57 53 1728 44.8 "S" 45.93 2.195 6.2945 20.9248291571754
"22-L _V6V8" 4.07 101.8 22 17 "L" 3.71 161 98 83 93 12 24 23 1510 1500 512.31 114 6624 38.2 "L" 43.995 2.575 5.9005 17.0854368932039
"22-M _V6V8" 4.55 130.43 22 17 "L" 3.71 161 98 83 93 12 24 23 1510 1500 512.31 114 6624 38.2 "M" 44.88 2.39 6.007 18.7782426778243
"22-O _V6V8" 4.96 174.06 22 17 "L" 3.71 161 98 83 93 12 24 23 1510 1500 512.31 114 6624 38.2 "O" 44.345 2.42 6.0925 18.3243801652893
"22-U _V6V8" 5.1 106.02 22 17 "L" 3.71 161 98 83 93 12 24 23 1510 1500 512.31 114 6624 38.2 "U" 45.595 2.34 6.167 19.4850427350427
"23-L _V6V8" 4.11 35.7 23 26 "M" 6.7 145 81 63 73 9 20 14 470 470 187.74 96.3333333333333 2520 41.5 "L" 45.4 2.45 6.1715 18.530612244898
"23-O _V6V8" 4.8 69.13 23 26 "M" 6.7 145 81 63 73 9 20 14 470 470 187.74 96.3333333333333 2520 41.5 "O" 45.595 2.285 6.448 19.9540481400438
"23-U _V6V8" 4.83 82.91 23 26 "M" 6.7 145 81 63 73 9 20 14 470 470 187.74 96.3333333333333 2520 41.5 "U" 46.075 2.285 6.3595 20.164113785558
"24-L _V6V8" 3.82 20.81 24 12 "M" 3.1 91 49 46 38 9 13 16 150 200 84.97 62 1872 43.3 "L" 45.27 2.42 6.281 18.7066115702479
"24-O _V6V8" 3.93 40.51 24 12 "M" 3.1 91 49 46 38 9 13 16 150 200 84.97 62 1872 43.3 "O" 45.475 2.27 6.3205 20.0330396475771
"24-U _V6V8" 4.05 23.65 24 12 "M" 3.1 91 49 46 38 9 13 16 150 200 84.97 62 1872 43.3 "U" 45.46 2.32 6.4495 19.5948275862069
"25-L _V6V8" 3.98 77.95 25 NA "L" 3.64 130 92 96 99 19 26 23 1700 2360 558.54 106 11362 NA "L" 46.015 2.47 6.18 18.6295546558704
"25-M _V6V8" 4.54 138.57 25 NA "L" 3.64 130 92 96 99 19 26 23 1700 2360 558.54 106 11362 NA "M" 45.09 2.335 6.231 19.3104925053533
"25-O _V6V8" 4.96 180 25 NA "L" 3.64 130 92 96 99 19 26 23 1700 2360 558.54 106 11362 NA "O" 45.865 2.345 6.3505 19.5586353944563
"25-U _V6V8" 5.27 162.02 25 NA "L" 3.64 130 92 96 99 19 26 23 1700 2360 558.54 106 11362 NA "U" 46.275 2.21 6.331 20.9389140271493
"3 _V6V8" 3.99 75.46 3 16 "S" 3.5 96 50 58 59 15.5 9 16 210 190 75.46 68 2232 40.4 "S" 43.955 2.3 6.994 19.1108695652174
"4 _V6V8" 3.75 40.11 4 18 "S" 3.57 68 36 42 38 11 6.5 12 90 45 40.11 48.6666666666667 858 44.8 "S" 44.59 2.625 7.114 16.9866666666667
"5-L _V6V8" 3.81 27.89 5 18 "M" 3.75 113 68 63 69 20 11.5 16 380 205 146.2 81.3333333333333 3680 44.8 "L" 45.04 2.58 6.054 17.4573643410853
"5-O _V6V8" 4.31 85.8 5 18 "M" 3.75 113 68 63 69 20 11.5 16 380 205 146.2 81.3333333333333 3680 44.8 "O" 45.93 2.47 6.2815 18.5951417004049
"5-U _V6V8" 3.85 32.51 5 18 "M" 3.75 113 68 63 69 20 11.5 16 380 205 146.2 81.3333333333333 3680 44.8 "U" 45.5 2.49 6.0765 18.2730923694779
"6 _V6V8" 3.99 89.27 6 15 "S" 5.26 85 34 52 47 15 10 12 240 130 89.27 57 1800 36.2 "S" 47.24 2.025 6.3605 23.3283950617284
"7-L _V6V8" 4.04 37.21 7 15 "L" 3.37 163 70 79 72 20 15 21 600 480 350.51 104 6300 36.2 "L" 44.75 2.08 6.0125 21.5144230769231
"7-M _V6V8" 4.42 47.95 7 15 "L" 3.37 163 70 79 72 20 15 21 600 480 350.51 104 6300 36.2 "M" 45.36 2.145 6.1355 21.1468531468531
"7-O _V6V8" 4.28 103.64 7 15 "L" 3.37 163 70 79 72 20 15 21 600 480 350.51 104 6300 36.2 "O" 45.655 2.15 6.233 21.2348837209302
"7-U _V6V8" 4.44 161.71 7 15 "L" 3.37 163 70 79 72 20 15 21 600 480 350.51 104 6300 36.2 "U" 46.535 2.13 6.4265 21.8474178403756
"8-L _V6V8" 4.42 28.57 8 15 "M" 3.5 112 48 59 52 15 9 11 205 160 104.22 73 1485 36.2 "L" 45.77 2.165 6.253 21.1408775981524
"8-O _V6V8" 4.23 36.9 8 15 "M" 3.5 112 48 59 52 15 9 11 205 160 104.22 73 1485 36.2 "O" 46.465 2.17 6.279 21.4124423963134
"8-U _V6V8" 4.63 38.75 8 15 "M" 3.5 112 48 59 52 15 9 11 205 160 104.22 73 1485 36.2 "U" 46.725 2.01 6.322 23.2462686567164
"9-L _V6V8" 4.26 77.24 9 5 "L" 4.87 190 90 112 126 34 25 33 4120 2380 1450.88 130.666666666667 28050 36.1 "L" 44.77 2.26 6.1785 19.8097345132743
"9-M _V6V8" 4.03 248.44 9 5 "L" 4.87 190 90 112 126 34 25 33 4120 2380 1450.88 130.666666666667 28050 36.1 "M" 45.62 2.425 6.229 18.8123711340206
"9-O _V6V8" 4.45 675.06 9 5 "L" 4.87 190 90 112 126 34 25 33 4120 2380 1450.88 130.666666666667 28050 36.1 "O" 45.69 2.47 6.3735 18.497975708502
"9-U _V6V8" 5.04 450.14 9 5 "L" 4.87 190 90 112 126 34 25 33 4120 2380 1450.88 130.666666666667 28050 36.1 "U" 46.43 2.42 6.5825 19.1859504132231
"NC1 _V6V8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NC2 _V6V8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NC3 _V6V8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NC4 _V6V8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
