#OTU ID	1_V6V8	10_L_V6V8	10_M_V6V8	10_O_V6V8	10_U_V6V8	11_L_V6V8	11_M_V6V8	11_O_V6V8	11_U_V6V8	12_L_V6V8	12_M_V6V8	12_O_V6V8	12_U_V6V8	13_L_V6V8	13_M_V6V8	13_O_V6V8	13_U_V6V8	14_V6V8	15_V6V8	16_V6V8	17_L_V6V8	17_O_V6V8	17_U_V6V8	19_L_V6V8	19_M_V6V8	19_O_V6V8	19_U_V6V8	2_L_V6V8	2_O_V6V8	2_U_V6V8	20_L_V6V8	20_O_V6V8	20_U_V6V8	21_V6V8	22_L_V6V8	22_M_V6V8	22_O_V6V8	22_U_V6V8	23_L_V6V8	23_O_V6V8	23_U_V6V8	24_L_V6V8	24_O_V6V8	24_U_V6V8	25_L_V6V8	25_M_V6V8	25_O_V6V8	25_U_V6V8	3_V6V8	4_V6V8	5_L_V6V8	5_O_V6V8	5_U_V6V8	6_V6V8	7_L_V6V8	7_M_V6V8	7_O_V6V8	7_U_V6V8	8_L_V6V8	8_O_V6V8	8_U_V6V8	9_L_V6V8	9_M_V6V8	9_O_V6V8	9_U_V6V8	NC1_V6V8	NC2_V6V8	NC3_V6V8	NC4_V6V8	taxonomy
1708695	164.0	75.0	64.0	70.0	133.0	65.0	50.0	15.0	117.0	71.0	80.0	40.0	170.0	294.0	204.0	31.0	31.0	34.0	90.0	78.0	26.0	24.0	105.0	106.0	233.0	38.0	41.0	191.0	77.0	514.0	223.0	217.0	190.0	163.0	656.0	457.0	106.0	117.0	154.0	42.0	518.0	51.0	48.0	55.0	607.0	555.0	209.0	415.0	187.0	0.0	78.0	38.0	63.0	29.0	268.0	333.0	191.0	269.0	107.0	115.0	116.0	176.0	178.0	38.0	132.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__tuberum
114708	68.0	26.0	43.0	37.0	80.0	111.0	42.0	168.0	68.0	32.0	27.0	55.0	38.0	181.0	200.0	229.0	108.0	177.0	90.0	159.0	87.0	99.0	204.0	179.0	310.0	269.0	109.0	16.0	37.0	57.0	15.0	116.0	87.0	93.0	124.0	83.0	261.0	222.0	304.0	307.0	131.0	36.0	47.0	127.0	336.0	175.0	449.0	196.0	156.0	56.0	50.0	46.0	44.0	85.0	17.0	30.0	67.0	20.0	29.0	55.0	48.0	50.0	51.0	45.0	44.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
103770	26.0	21.0	43.0	12.0	81.0	128.0	44.0	70.0	71.0	52.0	23.0	39.0	27.0	211.0	141.0	209.0	64.0	179.0	70.0	102.0	27.0	38.0	88.0	73.0	46.0	21.0	23.0	34.0	84.0	77.0	14.0	36.0	63.0	74.0	54.0	85.0	52.0	146.0	169.0	171.0	319.0	73.0	43.0	217.0	116.0	39.0	235.0	70.0	24.0	0.0	51.0	9.0	61.0	35.0	3.0	14.0	38.0	8.0	30.0	75.0	22.0	14.0	28.0	13.0	38.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
750007	38.0	110.0	69.0	0.0	81.0	30.0	31.0	0.0	0.0	70.0	28.0	54.0	90.0	95.0	31.0	0.0	0.0	33.0	126.0	62.0	135.0	85.0	177.0	74.0	0.0	0.0	0.0	26.0	56.0	51.0	79.0	0.0	52.0	115.0	75.0	0.0	53.0	46.0	126.0	76.0	0.0	95.0	40.0	92.0	54.0	34.0	72.0	60.0	64.0	222.0	164.0	162.0	72.0	98.0	62.0	73.0	51.0	92.0	85.0	78.0	108.0	150.0	96.0	46.0	58.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
1135287	16.0	40.0	94.0	133.0	24.0	33.0	45.0	93.0	32.0	79.0	52.0	44.0	57.0	29.0	19.0	5.0	4.0	11.0	23.0	22.0	65.0	107.0	38.0	21.0	53.0	27.0	0.0	16.0	0.0	27.0	0.0	28.0	45.0	15.0	30.0	35.0	31.0	0.0	80.0	90.0	30.0	34.0	64.0	10.0	22.0	30.0	34.0	0.0	25.0	91.0	34.0	28.0	48.0	33.0	39.0	32.0	46.0	40.0	39.0	32.0	56.0	79.0	52.0	44.0	46.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__
574772	64.0	0.0	0.0	0.0	84.0	64.0	62.0	80.0	27.0	67.0	76.0	47.0	29.0	165.0	25.0	55.0	0.0	163.0	98.0	100.0	355.0	216.0	120.0	29.0	0.0	28.0	0.0	27.0	66.0	67.0	33.0	129.0	76.0	32.0	120.0	76.0	98.0	0.0	117.0	96.0	25.0	277.0	360.0	106.0	0.0	0.0	0.0	0.0	122.0	538.0	121.0	112.0	114.0	68.0	26.0	32.0	32.0	27.0	60.0	10.0	16.0	198.0	63.0	63.0	31.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__
4342020	1.0	22.0	34.0	15.0	160.0	3.0	9.0	9.0	39.0	0.0	45.0	22.0	98.0	5.0	0.0	2.0	0.0	0.0	12.0	0.0	0.0	9.0	118.0	160.0	113.0	163.0	81.0	0.0	0.0	6.0	3.0	20.0	26.0	59.0	15.0	0.0	26.0	17.0	102.0	8.0	204.0	6.0	0.0	85.0	23.0	16.0	6.0	6.0	17.0	0.0	0.0	0.0	0.0	12.0	0.0	29.0	11.0	23.0	11.0	5.0	79.0	9.0	5.0	0.0	12.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
161623	22.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	25.0	53.0	0.0	0.0	61.0	17.0	0.0	0.0	0.0	0.0	0.0	30.0	41.0	0.0	0.0	96.0	0.0	30.0	0.0	0.0	15.0	0.0	25.0	0.0	0.0	19.0	0.0	0.0	0.0	68.0	0.0	18.0	24.0	0.0	0.0	0.0	16.0	0.0	24.0	87.0	57.0	17.0	15.0	0.0	63.0	6.0	0.0	0.0	0.0	0.0	k__Bacteria; p__AD3; c__JG37-AG-4; o__; f__; g__; s__
749604	21.0	0.0	0.0	0.0	0.0	30.0	0.0	23.0	0.0	0.0	0.0	20.0	16.0	0.0	0.0	45.0	19.0	75.0	34.0	93.0	28.0	25.0	64.0	41.0	51.0	57.0	0.0	12.0	53.0	40.0	0.0	16.0	34.0	41.0	34.0	25.0	28.0	41.0	38.0	48.0	22.0	17.0	45.0	115.0	25.0	15.0	38.0	23.0	30.0	0.0	23.0	20.0	26.0	19.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
1126251	61.0	35.0	49.0	109.0	33.0	29.0	53.0	0.0	0.0	27.0	110.0	54.0	32.0	0.0	0.0	0.0	19.0	45.0	69.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	80.0	52.0	48.0	0.0	102.0	62.0	0.0	0.0	52.0	37.0	0.0	18.0	0.0	40.0	110.0	69.0	39.0	59.0	82.0	0.0	0.0	0.0	0.0	44.0	0.0	80.0	0.0	93.0	80.0	54.0	55.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
