"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.06672880639959,0.104551980169508,10.2028560785757,1.02919599559399e-13
"layerM",0.0793778976835368,0.0489661814961246,1.62107591930196,0.111419598576294
"layerO",0.21475901660123,0.0427373737260374,5.02508689415302,7.09785782199522e-06
"layerU",0.15948963861122,0.0449646654717843,3.54699933687488,0.000869453923053494
"log10(dry_mass.x)",-0.054929774012629,0.0552314986333247,-0.994537091548089,0.32484753362027
"scale(pH)",0.0333671553632979,0.0208740368128921,1.59850036015505,0.116360916114828
"scale(C_N)",-0.035108584956723,0.0164208631538021,-2.13804747216312,0.037525921933648
"(Intercept)",1.48915709465788,0.108278860188081,13.7529808872314,1.90406159211795e-18
"layerM",-0.0069124541909441,0.0507116394310948,-0.136309026260855,0.892135481575202
"layerO",0.0698123819533451,0.044260798379761,1.57729603868303,0.121162309091517
"layerU",-0.00611115270272338,0.0465674845959838,-0.131232183909939,0.896128978028789
"log10(dry_mass.x)",0.019970879024523,0.0572002912694724,0.349139463826146,0.728480566247532
"scale(pH)",0.0545637980316171,0.021618116748813,2.52398479782533,0.0148942860204274
"scale(C_N)",-0.0322971846466133,0.0170062044039286,-1.89914127100297,0.0634414071698933
"(Intercept)",1.47087376790154,0.110435480520726,13.3188515227721,6.62192338407988e-18
"layerM",-0.000166114699147632,0.0517216773323885,-0.00321170363598417,0.997450475859105
"layerO",-0.0361027047301059,0.0451423530762093,-0.799752389273048,0.427714453940823
"layerU",-0.0612658148864703,0.0474949822067396,-1.28994289585767,0.203125352751673
"log10(dry_mass.x)",0.0315908703333723,0.0583395654636286,0.541499925176293,0.59061681591419
"scale(pH)",0.0485639719817952,0.0220486908244265,2.20257848270945,0.0323592187077198
"scale(C_N)",-0.0427151597940468,0.0173449217318993,-2.46268968256505,0.0173522972426803
"(Intercept)",1.24691705806906,0.095226299977382,13.0942508358009,1.27368109156915e-17
"layerM",0.0479192392905039,0.0445985650423555,1.07445697512901,0.287880517355207
"layerO",-0.00611273194892626,0.0389253456900859,-0.157037319529397,0.8758607273382
"layerU",0.0102106786813493,0.0409539706054033,0.249320848025469,0.804154794329045
"log10(dry_mass.x)",0.0173476021157099,0.0503050372506596,0.344848211308748,0.731684339645866
"scale(pH)",-0.00913301318047973,0.0190121438930249,-0.480377869632599,0.633096489554389
"scale(C_N)",-0.0291943434363567,0.0149561781425497,-1.95199222408965,0.0566660384440093
"(Intercept)",1.41955729659558,0.0817364729400066,17.3674890233827,1.40265951105213e-22
"layerM",0.0260474247596604,0.0382806998236144,0.680432303476133,0.499433400995876
"layerO",-0.0214068915534743,0.0334111528583364,-0.640710951945888,0.524695753675073
"layerU",-0.00362750277913524,0.0351524012900791,-0.103193598332044,0.918230511836236
"log10(dry_mass.x)",0.11836886269545,0.0431787890211127,2.74136596646034,0.0085163061740304
"scale(pH)",0.0331872804685989,0.0163188697367517,2.0336751873114,0.0474178934886988
"scale(C_N)",0.0037583896726737,0.0128374750496952,0.292767047891004,0.770936443028434
"(Intercept)",1.1046252735068,0.122950748096034,8.98429078808046,6.22232150091748e-12
"layerM",0.0559246531444086,0.0575831145100634,0.971198824867924,0.336219199586298
"layerO",0.06301946031692,0.0502581783985046,1.25391453341642,0.215822439920334
"layerU",0.0531692181193708,0.0528774227774606,1.00551833517186,0.319587168402331
"log10(dry_mass.x)",-0.0277249667485326,0.0649509848060515,-0.426859836403119,0.671351166576752
"scale(pH)",0.00478215166911054,0.0245473920031763,0.194813024067557,0.846344835746164
"scale(C_N)",-0.0277895600969456,0.0193105611760701,-1.43908609612976,0.156483877375772
"(Intercept)",-0.0278495550744862,0.28354673924674,-0.0982185693563972,0.922185483389116
"layerM",-0.107112141680437,0.140287616152607,-0.763518153761475,0.449052855398105
"layerO",0.0957064534957487,0.118498531075992,0.807659408321045,0.423443606275493
"layerU",-0.0252365913955674,0.124580506946397,-0.202572553396542,0.840362469440619
"log10(dry_mass.x)",0.220106473345188,0.148969123352221,1.47753083586839,0.146347903605863
"scale(pH)",-0.00507499971065577,0.0569648213553338,-0.0890900662884389,0.929397091934553
"scale(C_N)",-0.0426141893542192,0.0458525084712938,-0.929375311732358,0.357546206331983
"(Intercept)",-0.14053115129748,0.249767008877885,-0.562648974053206,0.576239272033344
"layerM",0.296662177338922,0.392982015076732,0.754900137811642,0.453922103416995
"layerO",0.297035302017988,0.350594240580964,0.847233832266542,0.40098407918156
"layerU",0.0528121440722818,0.37125838805948,0.142251719478512,0.887464485117814
"scale(dry_mass.x)",0.0902250343000765,0.134045373990265,0.673093234135998,0.504050311221872
"scale(pH)",0.544045279135905,0.158989843561725,3.42188700201273,0.00126364712048528
"scale(C_N)",-0.331645291147147,0.13366810950451,-2.4811100596583,0.0165775959447262
