,Estimate,Pr(>|t|),Estimate,Pr(>|t|),Estimate,Pr(>|t|),Estimate,Pr(>|t|)
,Pathotroph,,Pathotroph-Saprotroph,,Pathotroph-Saprotroph-Symbiotroph,,Pathotroph-Symbiotroph,
layerO,0.235,0.026,0.168,0.090,0.105,0.199,0.038,0.540
layerU,0.146,0.122,0.056,0.525,0.026,0.731,-0.002,0.966
log10(Dry mass),-0.127,0.666,-0.206,0.476,-0.117,0.630,-0.047,0.804
scale(pH),0.030,0.571,0.048,0.368,0.063,0.166,0.039,0.263
scale(C_N),-0.045,0.255,-0.079,0.049,-0.106,0.004,-0.066,0.015
,Saprotroph,,Saprotroph-Symbiotroph,,Symbiotroph,,All,
layerO,-0.018,0.801,0.038,0.586,-0.226,0.251,0.603,0.308
layerU,-0.013,0.851,0.097,0.153,-0.239,0.195,0.244,0.657
log10(Dry mass),0.308,0.178,0.583,0.014,0.684,0.251,0.363,0.293
scale(pH),0.017,0.671,-0.132,0.003,0.122,0.261,0.143,0.673
scale(C_N),-0.004,0.892,-0.025,0.382,-0.108,0.170,-0.365,0.156
