"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.94103587199565,0.107034821248635,18.1346205781643,6.93997660362537e-14
"log10(dry_mass)",0.261926439971141,0.0476719915849316,5.49434649703059,2.23053991978433e-05
"scale(pH_ratio)",0.0105619451050561,0.020931031334867,0.504607008421128,0.619349369982417
"scale(C_N_ratio)",-0.0199525901045442,0.0159395033728002,-1.25176987249126,0.225096551756727
"(Intercept)",0.982147009935901,0.151969360561297,6.46279622621531,2.65837108835292e-06
"log10(dry_mass)",0.138327358432577,0.0676852821664139,2.04368444667896,0.0543805397644189
"scale(pH_ratio)",0.0272215548098907,0.0297181366843153,0.915991305210523,0.370584689127681
"scale(C_N_ratio)",-0.0488191968540125,0.022631103663005,-2.15717260549767,0.043336866142664
"(Intercept)",1.23382391857545,0.135168487559301,9.12804412370266,1.43381974480414e-08
"log10(dry_mass)",0.217148380000511,0.0602023801815531,3.60697333470295,0.00175960545740613
"scale(pH_ratio)",0.0206079521581842,0.0264326675710348,0.779639516246426,0.444731778080742
"scale(C_N_ratio)",-0.0372566816587672,0.0201291368380293,-1.85088322259201,0.0790130467388902
"(Intercept)",1.10516337571535,0.126783779290757,8.71691459189626,3.01966290221608e-08
"log10(dry_mass)",0.253007109494377,0.0564679343502135,4.48054479778257,0.000228916843765817
"scale(pH_ratio)",0.00420424521583773,0.0247930087249203,0.169573820688084,0.867048779958692
"scale(C_N_ratio)",-0.0284446506901626,0.0188804956559606,-1.5065627093949,0.147555310687055
"(Intercept)",1.0000162028661,0.113108479545561,8.84121338102937,2.40540040150608e-08
"log10(dry_mass)",0.170903163021436,0.0503771242122679,3.39247556691252,0.00289108180450332
"scale(pH_ratio)",0.00636330314939487,0.02211875632611,0.287688107576072,0.776545385640642
"scale(C_N_ratio)",-0.0169844367945716,0.0168439856317485,-1.00833835684106,0.325336518760818
"(Intercept)",1.20393236426221,0.118942771010756,10.1219464960451,2.57939996410491e-09
"log10(dry_mass)",0.260880745528267,0.0529756457998053,4.92454110921335,8.17656560979465e-05
"scale(pH_ratio)",0.00961623855098831,0.0232596723013986,0.413429666006519,0.683691132888148
"scale(C_N_ratio)",-0.0142856067464825,0.0177128216554135,-0.806512199151312,0.429434238705853
"(Intercept)",0.766166709522158,0.168620960227256,4.54372166123102,0.000197593239708617
"log10(dry_mass)",0.206441946716805,0.0751016996452388,2.74883188652166,0.0123781089302999
"scale(pH_ratio)",0.0154542628460236,0.0329744148778785,0.468674361721319,0.644370472705454
"scale(C_N_ratio)",0.0033169108280331,0.0251108408732119,0.132090790777602,0.89623232952725
"(Intercept)",0.0185538519445844,0.386580874092668,0.0479947488041967,0.962196472728894
"log10(dry_mass)",0.286176323020093,0.172178361785942,1.66209226323037,0.112088863461443
"scale(pH_ratio)",0.0191623608147395,0.0755972336357509,0.253479656505279,0.802485012842634
"scale(C_N_ratio)",-0.0318828016245868,0.057569182389219,-0.553817169210962,0.58584324411934
