"","X","soil_sp","decay_cat","sterilization","plant_sp","pot_id","pair_id","block_id","above_mass","below_mass","rosetting","replicate","total_mass","height","apical_wilt","growth_rate","root_shoot_ratio"
"1",1,"M","fresh","sterile","M",1,"d","L",501.88,177.7,0,1,679.58,11.3,0,7.4,0.354068701681677
"2",2,"M","fresh","sterile","M",2,"j","L",152.45,89.49,0,2,241.94,5.5,1,2.7,0.587012135126271
"3",3,"M","fresh","sterile","M",3,"a","L",371.05,130.64,0,3,501.69,11.4,0,4.8,0.352081929659076
"4",4,"M","fresh","sterile","M",4,"c","L",336.02,197.62,0,4,533.64,11.1,0,4.6,0.588119754776501
"5",5,"M","fresh","sterile","M",5,"f","L",365.85,123.75,0,5,489.6,10,0,5,0.338253382533825
"6",6,"M","fresh","sterile","M",6,"e","L",215.88,92.15,0,6,308.03,9.4,0,3.6,0.426857513433389
"7",7,"M","fresh","sterile","M",7,"i","L",414.24,143.6,0,7,557.84,11.5,0,6.4,0.346658941676323
"8",8,"M","fresh","sterile","M",8,"b","L",935.99,367.09,0,8,1303.08,16.9,0,10.3,0.392194361050866
"9",9,"M","fresh","sterile","M",9,"h","L",391.41,92.39,0,9,483.8,10,0,4.6,0.236044045885389
"10",10,"M","fresh","sterile","M",10,"g","L",186.56,72.46,0,10,259.02,8.2,0,2.8,0.38840051457976
"11",11,"M","fresh","live","M",11,"j","E",1478.72,939.22,0,1,2417.94,15.1,0,9.7,0.635157433455962
"12",12,"M","fresh","live","M",12,"g","L",191.4,153.71,0,2,345.11,7,1,1.7,0.803082549634274
"13",13,"M","fresh","live","M",13,"b","L",1882.4,1340.12,0,3,3222.52,16.6,0,9.3,0.7119209519762
"14",14,"M","fresh","live","M",14,"h","L",267.83,110.04,0,4,377.87,12.5,0,6.9,0.410857633573535
"15",15,"M","fresh","live","M",15,"a","L",1248.01,793.02,0,5,2041.03,15.5,0,7.3,0.635427600740379
"16",16,"M","fresh","live","M",16,"c","E",425.27,144.54,0,6,569.81,12.5,0,5.3,0.33987819502904
"17",17,"M","fresh","live","M",17,"d","E",589,154.45,0,7,743.45,15,0,9.5,0.262224108658744
"18",18,"M","fresh","live","M",18,"f","L",421.96,114.45,0,8,536.41,11,0,4.9,0.271234240212342
"19",19,"M","fresh","live","M",19,"e","E",574.36,275.12,0,9,849.48,11.2,0,7,0.479002716066578
"20",20,"M","fresh","live","M",20,"i","E",87.79,136.04,0,10,223.83,5.5,1,0.8,1.5496070167445
"21",21,"M","shortd","sterile","M",21,"f","C",433.47,111.96,0,1,545.43,9.4,0,5.2,0.258287770779985
"22",22,"M","shortd","sterile","M",22,"c","C",745.14,369.65,0,2,1114.79,13,0,8.4,0.496081273317766
"23",23,"M","shortd","sterile","M",23,"g","C",172.41,82.7,0,3,255.11,7.3,1,3.4,0.479670552752161
"24",24,"M","shortd","sterile","M",24,"h","C",429.8,146.77,0,4,576.57,12.1,0,7.9,0.341484411354118
"25",25,"M","shortd","sterile","M",25,"d","C",210.81,82.75,0,5,293.56,9.5,0,5.3,0.392533561026517
"26",26,"M","shortd","sterile","M",26,"j","C",319.57,171.76,0,6,491.33,8.2,0,5.3,0.537472228306787
"27",27,"M","shortd","sterile","M",27,"a","C",672.1,307.5,0,7,979.6,12.7,0,8.2,0.457521202202053
"28",28,"M","shortd","sterile","M",28,"i","C",140.92,80.54,0,8,221.46,5,1,0.9,0.571529946068692
"29",29,"M","shortd","sterile","M",29,"b","C",448.6,161.74,0,9,610.34,12.8,0,5.9,0.360543914400357
"30",30,"M","shortd","sterile","M",30,"e","C",468.74,277.71,0,10,746.45,10.1,0,5.2,0.592460639160302
