sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E02	15144	10772	71.13	9546	6589	43.51	5588	36.9
E03	13604	9620	70.71	8229	5498	40.41	4660	34.25
E04	12697	9171	72.23	8063	5701	44.9	4763	37.51
E05	11624	8093	69.62	6689	3600	30.97	2791	24.01
E06	14251	10185	71.47	8432	4069	28.55	3189	22.38
E07	13476	9599	71.23	8199	5127	38.05	4149	30.79
E08	15379	10761	69.97	9335	6250	40.64	5314	34.55
E09	26	11	42.31	3	0	0	0	0
E10	12674	9114	71.91	7950	5545	43.75	4680	36.93
E11	12581	8851	70.35	7883	5753	45.73	5011	39.83
E12	12945	9495	73.35	8173	6062	46.83	5164	39.89
E14	8359	5970	71.42	5129	3704	44.31	3225	38.58
E15	9527	6518	68.42	5809	4168	43.75	3587	37.65
E16	9640	6700	69.5	5483	3277	33.99	2732	28.34
E17	11970	8496	70.98	7270	5040	42.11	4275	35.71
E19	8574	5961	69.52	5150	3711	43.28	3227	37.64
E20	10266	7058	68.75	6297	4819	46.94	4199	40.9
E21	12835	9097	70.88	8020	5517	42.98	4709	36.69
E22	8541	5814	68.07	4818	3388	39.67	2922	34.21
E23	9243	6467	69.97	5518	3976	43.02	3395	36.73
E24	11455	7914	69.09	6699	4285	37.41	3590	31.34
E25	10627	7259	68.31	6136	3814	35.89	3110	29.27
E26	9564	6879	71.93	5414	2815	29.43	2223	23.24
E27	12211	8663	70.94	7671	5732	46.94	4807	39.37
E29	10744	7402	68.89	6350	4294	39.97	3782	35.2
E30	10562	7089	67.12	6136	4370	41.37	3669	34.74
E31	10711	7445	69.51	6652	4839	45.18	4186	39.08
E32	11469	8052	70.21	7000	4794	41.8	4134	36.04
E33	9880	6789	68.71	5878	4042	40.91	3454	34.96
E34	9996	6748	67.51	5922	4346	43.48	3839	38.41
E35	11494	8058	70.11	6926	4910	42.72	4410	38.37
E36	11460	7758	67.7	6544	4122	35.97	3314	28.92
E37	11647	8495	72.94	7361	5435	46.66	4763	40.89
E38	16992	12290	72.33	10665	6318	37.18	4951	29.14
E39	15086	10639	70.52	9516	6509	43.15	5413	35.88
E40	14163	10161	71.74	8785	5759	40.66	4869	34.38
E41	13903	9936	71.47	8611	5228	37.6	4153	29.87
E42	12811	8713	68.01	7521	4677	36.51	4068	31.75
E43	8372	5759	68.79	4975	3328	39.75	2827	33.77
E45	8466	6091	71.95	4913	3000	35.44	2312	27.31
E46	11932	8422	70.58	7291	5252	44.02	4325	36.25
E47	7170	5087	70.95	4148	2695	37.59	2218	30.93
M01	9357	6585	70.38	5427	3340	35.7	2755	29.44
M03	12204	8826	72.32	7488	4987	40.86	3981	32.62
M04	12543	9071	72.32	7501	4799	38.26	4066	32.42
M06	14106	9991	70.83	8891	6449	45.72	5517	39.11
M07	12951	9421	72.74	7881	5012	38.7	4303	33.23
M08	12048	8720	72.38	7768	5590	46.4	4811	39.93
M09	11838	8382	70.81	7380	5372	45.38	4604	38.89
M10	10194	7010	68.77	6069	4197	41.17	3584	35.16
M11	10548	7400	70.16	6540	4640	43.99	4076	38.64
M12	10977	7847	71.49	6937	4855	44.23	4176	38.04
M13	14413	10396	72.13	9469	7648	53.06	6764	46.93
M14	16802	12045	71.69	10725	7904	47.04	6767	40.27
M16	8532	5946	69.69	5201	3941	46.19	3446	40.39
M17	10501	7307	69.58	6365	4318	41.12	3710	35.33
M18	11302	7789	68.92	6606	4819	42.64	4254	37.64
M19	10700	7321	68.42	6206	4394	41.07	3674	34.34
M20	12275	8683	70.74	7775	5622	45.8	4711	38.38
M21	10457	7166	68.53	5902	3999	38.24	3425	32.75
M22	12649	9022	71.33	7745	5051	39.93	4088	32.32
M23	12894	8792	68.19	7615	5634	43.69	4862	37.71
M24	14055	9954	70.82	8634	6077	43.24	5343	38.01
M25	10918	7674	70.29	6789	4956	45.39	4149	38
M26	26343	18751	71.18	17135	13090	49.69	11085	42.08
M27	11806	8156	69.08	7381	5712	48.38	4778	40.47
M28	9755	6609	67.75	5736	4244	43.51	3616	37.07
M29	10305	7099	68.89	6052	4426	42.95	3866	37.52
M30	10266	6959	67.79	6059	4208	40.99	3572	34.79
M31	11214	7794	69.5	6548	4413	39.35	3598	32.08
