soil_sp,decay_cat,soil_inoculum,seedling_sp,pot_id,pair_id,block_id,survival,12/26,1/13,2/1,2/18,3/2,3/15,3/27,4/10,4/26,5/19,5/29,apical_wilt
MACHZU,fresh,sterile,MACHZU,1,d,L,,3.9,5.2,5.8,7.1,7.8,8.6,8.6,8.6,10,10.7,11.3,0
MACHZU,fresh,sterile,MACHZU,2,j,L,,2.8,4.2,5.4,5.5,5.8,5.8,5.8,5.8,5.5,5.5,5.5,1
MACHZU,fresh,sterile,MACHZU,3,a,L,,6.6,6.7,6.7,8,8.1,8.7,9.5,10.9,10.5,11.1,11.4,0
MACHZU,fresh,sterile,MACHZU,4,c,L,,6.5,7.2,7.8,8.7,9,9.2,9.8,10.3,10.6,10.8,11.1,0
MACHZU,fresh,sterile,MACHZU,5,f,L,,5,5.4,5.7,7,7.7,8,8.5,8.5,9.2,9.7,10,0
MACHZU,fresh,sterile,MACHZU,6,e,L,,5.8,5.9,6.6,7.1,7.5,7.6,8.1,8.4,8.7,8.8,9.4,0
MACHZU,fresh,sterile,MACHZU,7,i,L,,5.1,5.4,5.5,6,7.2,8.2,8.7,8.9,9.4,10.6,11.5,0
MACHZU,fresh,sterile,MACHZU,8,b,L,,6.6,7.2,8.2,10.5,11.1,11.7,12.9,14,15.5,16.6,16.9,0
MACHZU,fresh,sterile,MACHZU,9,h,L,,5.4,6.4,7,7.5,8.1,8.5,8.7,8.9,9.6,10,10,0
MACHZU,fresh,sterile,MACHZU,10,g,L,,5.4,5.6,5.8,6.3,6.5,6.6,7.1,7.2,7.7,7.9,8.2,0
MACHZU,fresh,live,MACHZU,11,j,E,,5.4,6.2,7.5,8.6,9.9,10.3,12,12.6,13.7,15.1,15.1,0
MACHZU,fresh,live,MACHZU,12,g,L,,5.3,6.1,7.1,7.5,7.8,7.8,7.8,8,6.7,7.3,7,1
MACHZU,fresh,live,MACHZU,13,b,L,,7.3,9.1,10,11.1,11.6,12.2,13.7,15.4,16.3,16.3,16.6,0
MACHZU,fresh,live,MACHZU,14,h,L,,5.6,6.4,7.2,8,8.6,9.1,9.5,10.1,10.7,11.8,12.5,0
MACHZU,fresh,live,MACHZU,15,a,L,,8.2,8.9,10.1,11.1,11.4,12.4,13.5,14.5,14.9,14.9,15.5,0
MACHZU,fresh,live,MACHZU,16,c,E,,7.2,7.7,8.4,9.5,10,10.3,11,11.5,11.7,12.5,12.5,0
MACHZU,fresh,live,MACHZU,17,d,E,,5.5,6.6,7.9,8.5,9.5,10.1,10.3,11.6,12.2,14.2,15,0
MACHZU,fresh,live,MACHZU,18,f,L,,6.1,7.1,8,8.6,9,9,9.5,9.5,10.1,10.5,11,0
