soil_sp,decay_cat,plant_sp,pot_id,block_id,color_Y,color_S,color_B,thrip,gall,below_twisted_root,above_morph,above_mass,below_mass,rosetting,apical_wilt
MACHZU,fresh,MACHZU,1,R,1,1,0,0,0,1,O,619.11,412.61,0,0
MACHZU,fresh,ENGERO,2,R,0,0,1,1,0,0,CO,247.78,51.52,0,0
MACHZU,fresh,MACHZU,3,R,0,1,0,1,0,1,C,375.42,211.76,0,0
MACHZU,fresh,ENGERO,4,R,0,0,1,0,1,1,CO,609.56,116.02,0,0
MACHZU,fresh,MACHZU,5,R,0,1,0,1,0,1,C,372.02,185.22,0,0
MACHZU,fresh,ENGERO,6,R,,,,,,,,Dead,Dead,,
MACHZU,fresh,MACHZU,7,R,0,0,1,1,0,1,O,1031.74,453.73,0,0
MACHZU,fresh,ENGERO,8,R,1,0,1,0,1,0,CO,486.6,83.29,0,0
MACHZU,fresh,MACHZU,9,R,0,0,0,0,0,1,C,1293.05,1042.3,0,0
MACHZU,fresh,ENGERO,10,R,0,0,0,0,0,1,O,1065.45,520.16,0,0
MACHZU,shortd,MACHZU,11,R,1,0,1,0,0,1,O,347.53,2063.37,0,0
MACHZU,shortd,ENGERO,12,R,0,0,1,0,1,1,CO,706.87,296.26,0,0
MACHZU,shortd,MACHZU,13,R,0,1,0,0,0,1,C,328.89,141.32,0,0
MACHZU,shortd,ENGERO,14,R,0,0,0,0,0,1,O,932.37,660.05,0,0
MACHZU,shortd,MACHZU,15,R,0,1,1,1,0,1,O,409.42,132.79,0,0
MACHZU,shortd,ENGERO,16,T,0,0,0,0,1,1,O,678.51,238.02,0,0
MACHZU,shortd,MACHZU,17,T,1,1,1,1,0,1,O,838.69,211.05,0,0
MACHZU,shortd,ENGERO,18,T,0,0,0,0,0,1,O,929.76,335.57,0,0
MACHZU,shortd,MACHZU,19,T,0,1,1,1,0,1,O,545.52,178.21,0,0
MACHZU,shortd,ENGERO,20,T,0,0,0,0,0,1,O,1242.91,746.88,0,0
MACHZU,longd,MACHZU,21,T,1,1,0,1,0,1,O,673.09,178.62,0,0
MACHZU,longd,ENGERO,22,T,0,0,1,0,0,1,O,1022.75,838.86,0,0
MACHZU,longd,MACHZU,23,T,0,1,0,1,0,1,O,578.83,171.84,0,0
MACHZU,longd,ENGERO,24,T,0,0,1,0,1,1,CO,978.69,305.4,0,0
MACHZU,longd,MACHZU,25,T,1,1,0,0,0,1,C,596.19,242.12,0,0
MACHZU,longd,ENGERO,26,T,0,0,0,0,0,1,O,1141.87,564.73,0,0
MACHZU,longd,MACHZU,27,T,1,1,0,1,0,1,O,754.74,276.82,0,0
MACHZU,longd,ENGERO,28,T,0,0,0,0,0,1,O,851.18,496.14,0,0
MACHZU,longd,MACHZU,29,T,1,1,0,1,0,1,O,258.14,107.12,0,0
MACHZU,longd,ENGERO,30,T,0,0,0,0,0,1,O,675.51,176,0,0
ENGERO,fresh,MACHZU,31,U,0,1,1,0,0,1,O,1932.65,1213.4,0,0
ENGERO,fresh,ENGERO,32,U,0,0,1,0,0,1,O,865.38,188,0,0
ENGERO,fresh,MACHZU,33,U,1,1,1,0,0,1,C,513.52,289.97,0,0
ENGERO,fresh,ENGERO,34,U,0,0,1,0,0,1,O,981.91,202.14,0,0
ENGERO,fresh,MACHZU,35,U,0,0,0,1,0,1,C,227.03,295.33,0,0
ENGERO,fresh,ENGERO,36,U,0,0,1,0,1,1,CO,763.24,142.21,1,0
ENGERO,fresh,MACHZU,37,U,1,1,1,0,0,1,C,175.14,164.09,0,0
ENGERO,fresh,ENGERO,38,U,1,0,0,0,1,1,CO,427.66,77.68,0,0
ENGERO,fresh,MACHZU,39,U,0,1,1,0,0,0,O,160.61,108.32,0,1
ENGERO,fresh,ENGERO,40,U,0,0,1,0,1,1,CO,443.14,103.69,0,0
ENGERO,shortd,MACHZU,41,U,0,1,1,0,0,1,C,218.43,297.7,0,1
ENGERO,shortd,ENGERO,42,U,0,0,0,0,0,1,O,759.66,221.82,0,0
ENGERO,shortd,MACHZU,43,U,0,1,0,0,0,1,C,891.78,596.28,0,0
ENGERO,shortd,ENGERO,44,U,0,0,0,0,0,1,O,527.77,92.3,0,0
ENGERO,shortd,MACHZU,45,U,0,1,0,0,0,1,C,253.86,120.07,0,0
ENGERO,shortd,ENGERO,46,S,0,0,1,0,0,0,O,478.61,70.48,0,0
ENGERO,shortd,MACHZU,47,S,1,1,0,1,0,1,CO,162.92,100.74,0,0
ENGERO,shortd,ENGERO,48,S,0,0,1,0,1,1,O,1433.76,553.88,0,0
ENGERO,shortd,MACHZU,49,S,1,1,1,1,0,1,O,388.37,176.6,0,0
ENGERO,shortd,ENGERO,50,S,0,0,0,0,0,1,O,1422.5,510.09,0,0
ENGERO,longd,MACHZU,51,S,0,1,1,1,0,1,C,201.88,77.98,0,0
ENGERO,longd,ENGERO,52,S,0,0,0,0,0,1,O,2334.36,1073,0,0
ENGERO,longd,MACHZU,53,S,1,0,0,0,0,1,C,342.21,199.78,0,0
ENGERO,longd,ENGERO,54,S,0,0,1,0,1,1,C,407.22,70.98,0,0
ENGERO,longd,MACHZU,55,S,0,1,0,1,0,1,O,679.59,238.34,0,0
ENGERO,longd,ENGERO,56,S,0,0,1,0,1,0,C,255.25,46.93,0,0
ENGERO,longd,MACHZU,57,S,1,1,0,1,0,1,O,587.04,153.84,0,0
ENGERO,longd,ENGERO,58,S,0,0,1,0,0,1,O,1186.39,584.74,0,0
ENGERO,longd,MACHZU,59,S,1,0,1,1,0,1,C,216.07,102.7,0,0
ENGERO,longd,ENGERO,60,S,0,0,0,0,0,0,O,150.37,28.43,1,0
