soil_sp,decay_cat,sterilization,plant_sp,pot_id,pair_id,block_id,color_Y,color_S,color_B,thrip,gall,below_twisted_root,above_morph,above_mass,below_mass,rosetting,apical_wilt
M,fresh,sterile,M,1,d,L,0,1,0,1,0,0,O,501.88,177.7,0,0
M,fresh,sterile,M,2,j,L,1,0,1,1,0,0,C,152.45,89.49,0,0
M,fresh,sterile,M,3,a,L,1,1,0,1,0,0,O,371.05,130.64,0,0
M,fresh,sterile,M,4,c,L,1,0,1,1,0,0,CO,336.02,197.62,0,0
M,fresh,sterile,M,5,f,L,1,0,0,1,0,0,O,365.85,123.75,0,0
M,fresh,sterile,M,6,e,L,1,0,1,1,0,0,CO,215.88,92.15,0,0
M,fresh,sterile,M,7,i,L,1,0,1,0,0,0,CO,414.24,143.6,0,0
M,fresh,sterile,M,8,b,L,1,0,0,0,0,1,CO,935.99,367.09,0,0
M,fresh,sterile,M,9,h,L,1,0,1,1,0,0,O,391.41,92.39,0,0
M,fresh,sterile,M,10,g,L,1,0,1,1,0,0,O,186.56,72.46,0,0
M,fresh,live,M,11,j,E,0,0,0,0,0,1,O,1478.72,939.22,0,0
M,fresh,live,M,12,g,L,0,1,1,1,0,0,C,191.4,153.71,0,0
M,fresh,live,M,13,b,L,0,1,0,0,0,1,O,1882.4,1340.12,0,0
M,fresh,live,M,14,h,L,0,0,1,1,0,0,O,267.83,110.04,0,0
M,fresh,live,M,15,a,L,0,1,0,0,0,1,O,1248.01,793.02,0,0
M,fresh,live,M,16,c,E,0,1,0,1,0,0,C,425.27,144.54,0,0
M,fresh,live,M,17,d,E,0,1,0,1,0,0,O,589,154.45,0,0
M,fresh,live,M,18,f,L,0,1,0,1,0,0,O,421.96,114.45,0,0
M,fresh,live,M,19,e,E,1,0,1,1,0,1,C,574.36,275.12,0,0
M,fresh,live,M,20,i,E,0,1,0,0,0,0,C,87.79,136.04,0,1
M,shortd,sterile,M,21,f,C,1,0,1,1,0,1,O,433.47,111.96,0,0
M,shortd,sterile,M,22,c,C,1,0,1,1,0,1,O,745.14,369.65,0,0
M,shortd,sterile,M,23,g,C,1,0,1,1,0,1,C,172.41,82.7,0,0
M,shortd,sterile,M,24,h,C,0,0,0,1,0,0,O,429.8,146.77,0,0
M,shortd,sterile,M,25,d,C,1,0,1,1,0,1,O,210.81,82.75,0,0
M,shortd,sterile,M,26,j,C,1,1,1,1,0,1,C,319.57,171.76,0,0
M,shortd,sterile,M,27,a,C,1,0,0,1,0,1,C,672.1,307.5,0,0
M,shortd,sterile,M,28,i,C,1,0,1,1,0,1,O,140.92,80.54,0,1
M,shortd,sterile,M,29,b,C,1,0,1,1,0,1,O,448.6,161.74,0,0
M,shortd,sterile,M,30,e,C,1,0,1,0,0,1,C,468.74,277.71,0,0
M,shortd,live,M,31,h,M,0,0,1,1,0,1,C,486.77,302.97,0,0
M,shortd,live,M,32,g,M,1,0,0,0,0,1,C,170.97,136.91,0,1
M,shortd,live,M,33,d,M,1,0,0,0,0,1,O,369.77,112.8,0,0
M,shortd,live,M,34,e,M,1,0,1,0,0,1,O,157.39,95.22,0,0
M,shortd,live,M,35,c,M,0,1,0,1,0,1,O,972.39,289.52,0,0
M,shortd,live,M,36,j,M,0,1,0,0,0,0,O,89.53,78.86,0,0
M,shortd,live,M,37,i,M,0,1,0,0,0,1,CO,794.06,368.14,0,0
M,shortd,live,M,38,a,M,0,0,0,1,0,1,C,878.83,553.87,0,0
M,shortd,live,M,39,b,M,0,1,0,1,0,1,O,485.52,230.52,0,0
M,shortd,live,M,40,f,M,0,1,0,1,0,1,O,272.59,126.32,0,0
M,longd,sterile,M,161,a,K,1,0,1,1,0,0,CO,269.05,120.48,0,0
M,longd,sterile,M,162,j,M,1,0,1,1,0,1,O,221.76,81.04,0,0
M,longd,sterile,M,163,h,M,0,1,0,0,0,1,CO,788.34,413.42,0,0
M,longd,sterile,M,164,i,M,0,1,1,0,0,1,CO,442.75,370.34,0,0
M,longd,sterile,M,165,g,M,0,1,1,1,0,1,O,636.17,333.74,0,0
M,longd,sterile,M,166,c,K,1,1,1,1,0,1,O,422.78,151.42,0,0
M,longd,sterile,M,167,b,K,1,0,1,1,0,1,O,230.77,86.08,0,0
M,longd,sterile,M,168,f,M,0,1,0,0,0,1,C,602.05,435.59,0,0
M,longd,sterile,M,169,d,K,1,0,0,1,0,1,O,250.8,76.36,0,0
M,longd,sterile,M,170,e,K,1,0,1,1,0,1,O,345.22,123.66,0,0
M,longd,live,M,51,h,K,1,0,1,1,0,1,O,175.44,76.5,0,0
M,longd,live,M,52,a,K,1,0,0,1,0,1,O,985.76,400.72,0,0
M,longd,live,M,53,b,K,1,0,1,1,0,1,O,155.49,83.9,0,0
M,longd,live,M,54,g,K,0,1,1,1,0,1,O,687.17,306.07,0,0
M,longd,live,M,55,j,K,1,0,1,1,0,1,O,450.41,177.46,0,0
M,longd,live,M,56,c,K,1,0,0,1,0,1,O,618.37,210.7,0,0
M,longd,live,M,57,d,K,0,1,1,0,0,1,O,570.27,208.56,0,0
M,longd,live,M,58,i,K,0,1,1,1,0,1,CO,217.34,84.78,0,0
M,longd,live,M,59,e,K,0,0,0,0,0,1,O,1219.83,990.1,0,0
M,longd,live,M,60,f,K,1,0,0,1,0,1,C,137.38,128.08,0,1
E,fresh,sterile,M,61,d,A,0,1,0,1,0,1,O,588.48,223.11,0,0
E,fresh,sterile,M,62,a,A,1,0,0,0,0,1,O,1184.13,647.55,0,0
E,fresh,sterile,M,63,c,A,1,0,0,1,0,1,O,310.8,105.15,0,0
E,fresh,sterile,M,64,f,A,1,0,0,1,0,1,O,838.07,342.62,0,0
E,fresh,sterile,M,65,j,A,0,1,0,1,0,1,CO,489.27,251.98,0,0
E,fresh,sterile,M,66,e,A,1,0,1,1,0,1,O,377.46,176.71,0,0
E,fresh,sterile,M,67,i,A,1,0,1,1,0,1,O,353.48,102.42,0,0
E,fresh,sterile,M,68,b,A,1,0,1,1,0,1,O,474.5,338.14,0,0
E,fresh,sterile,M,69,g,A,0,1,0,1,0,1,O,755,300.66,0,0
E,fresh,sterile,M,70,h,A,1,0,1,1,0,1,O,1245.96,474.91,0,0
E,fresh,live,M,71,f,E,0,1,0,0,0,1,O,1213.59,646.69,0,0
E,fresh,live,M,72,c,E,1,0,0,0,0,1,O,1621.38,1409.9,0,0
E,fresh,live,M,73,b,E,1,0,1,0,0,1,O,1580.36,1264.36,0,0
E,fresh,live,M,74,j,E,0,0,1,1,0,0,O,601.53,223.26,0,0
E,fresh,live,M,75,d,E,0,0,0,0,0,1,O,1361.54,805.14,0,0
E,fresh,live,M,76,a,E,0,0,0,0,0,1,O,1761.95,1089.53,0,0
E,fresh,live,M,77,i,E,0,0,1,1,0,0,O,495.03,103.37,0,0
E,fresh,live,M,78,h,E,1,0,0,1,0,0,O,547.8,156.26,0,0
E,fresh,live,M,79,g,E,0,0,0,0,0,0,C,557.63,423.62,0,0
E,fresh,live,M,80,e,E,1,0,1,1,0,0,O,263.5,111.53,0,0
E,shortd,sterile,M,81,g,G,0,1,1,0,0,0,O,294.28,98.46,0,0
E,shortd,sterile,M,82,f,G,1,0,1,0,0,1,C,228.57,135.53,0,0
E,shortd,sterile,M,83,i,G,1,0,1,1,0,1,C,261.73,159.69,0,0
E,shortd,sterile,M,84,h,G,1,0,0,1,0,1,CO,381.67,183.02,0,0
E,shortd,sterile,M,85,b,G,1,0,1,1,0,1,O,256.07,116.76,0,0
E,shortd,sterile,M,86,c,G,1,0,1,1,0,1,O,183.05,119.92,0,0
E,shortd,sterile,M,87,a,G,1,1,1,1,0,1,CO,573.06,579.47,0,0
E,shortd,sterile,M,88,d,G,1,0,1,0,0,0,C,123.24,78.23,0,0
E,shortd,sterile,M,89,j,G,1,0,0,1,0,1,O,246.77,105.74,0,0
E,shortd,sterile,M,90,e,G,1,0,1,1,0,1,O,315.32,149.82,0,0
E,shortd,live,M,91,e,J,0,1,0,0,0,0,O,1453.29,952.31,0,0
E,shortd,live,M,92,g,J,0,0,1,1,0,1,CO,162.97,117.64,0,0
E,shortd,live,M,93,j,J,0,1,0,1,0,1,O,374.83,239.98,0,0
E,shortd,live,M,94,i,J,0,0,1,1,0,1,O,1019.79,371.92,0,0
E,shortd,live,M,95,a,J,0,1,0,1,0,1,O,1050.7,400.31,0,0
E,shortd,live,M,96,d,J,0,0,0,0,0,1,O,1293.94,941.33,0,0
E,shortd,live,M,97,f,J,1,0,1,0,0,0,C,138.63,166.11,0,1
E,shortd,live,M,98,b,J,0,1,0,0,0,1,O,853.79,565.84,0,0
E,shortd,live,M,99,h,J,0,0,0,0,0,1,O,1115.89,811.06,0,0
E,shortd,live,M,100,c,J,1,0,0,1,0,1,O,456.02,151.89,0,0
E,longd,sterile,M,101,c,O,1,0,1,1,0,1,O,214.43,96.35,0,0
E,longd,sterile,M,102,a,O,1,0,1,0,0,1,C,268.19,157.96,0,1
