tag,sp,decay_cat,dbh,qx,qy,gx_new,gy_new,zone,sample_ID,for_soil_mix,pH,note
243230,ENGERO,Alive,29.1,24,17,24.9355,17.7215,Zone 5,E01,Yes,3.54,
243250,ENGERO,2014_2019,19.3,24,17,24.695,17.45,Zone 5,E02,No,3.85,
224047,ENGERO,2014_2019,31.6,22,20,22.4,20.8975,Zone 5,E03,No,4.04,
243908,ENGERO,Alive,37.9,24,21,24.286,21.9365,Zone 5,E04,Yes,4.02,
243917,ENGERO,2009_2014,22.5,24,21,24.614,21.88,Zone 5,E05,Yes,3.53,
214203,ENGERO,2014_2019,31.5,21,23,21.345,23.583,Zone 5,E06,No,3.86,
214134,ENGERO,2014_2019,24.6,21,23,21.09,23.0285,Zone 5,E07,Yes,3.89,
214076,ENGERO,2014_2019,20.9,21,22,21.126,22.727,Zone 5,E08,No,4.07,
224567,ENGERO,2009_2014,25.3,22,24,22.845,24.776,Zone 5,E09,No,4.06,
153585,ENGERO,2014_2019,24.2,15,22,15.435,22.948,Zone 4,E10,Yes,4.04,
154044,ENGERO,Alive,17.4,15,23,15.6555,23.4375,Zone 4,E11,Yes,3.3,
123304,ENGERO,2014_2019,18,12,13,12.756,13.08,Zone 8,E12,Yes,3.74,
011356,ENGERO,Alive,27.7,1,11,1.389,11.21,Zone 7,E13,No,3.53,
011406,ENGERO,2009_2014,19.7,1,11,1.735,11.401,Zone 7,E14,Yes,3.85,
002032,ENGERO,Alive,32.6,0,12,0.9805,12.484,Zone 7,E15,Yes,3.71,
002019,ENGERO,2009_2014,19.3,0,12,0.519,12.4755,Zone 7,E16,Yes,3.75,
002075,ENGERO,2009_2014,38.4,0,13,0.266,13.119,Zone 7,E17,No,3.74,base unclear
021814,ENGERO,Alive,34.3,2,13,2.268,13.5615,Zone 7,E18,No,3.64,
021783,ENGERO,2009_2014,36.8,2,13,2.4065,13.2145,Zone 7,E19,Yes,3.74,
